epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,4799.87,0.88066,0.47086,0.88633,0.93782,0.85889,0.94035,0.74795,0.76892,0.40719,0.87051,0.0031195,0.0031195,0.0031195
141,4833.38,0.88176,0.47176,0.88626,0.93416,0.86411,0.93995,0.7485,0.7663,0.40701,0.86958,0.00307,0.00307,0.00307
142,4866.82,0.87949,0.46984,0.88686,0.93368,0.86404,0.94049,0.74929,0.76555,0.40585,0.86986,0.0030205,0.0030205,0.0030205
143,4900.74,0.87817,0.46885,0.88658,0.93559,0.86405,0.94074,0.74826,0.7651,0.40536,0.87011,0.002971,0.002971,0.002971
144,4934.21,0.87297,0.46821,0.88572,0.93775,0.86108,0.94089,0.74978,0.76417,0.40493,0.87023,0.0029215,0.0029215,0.0029215
145,4967.82,0.87541,0.46845,0.88359,0.93898,0.86121,0.94018,0.74988,0.76159,0.40379,0.86918,0.002872,0.002872,0.002872
146,5001.23,0.87951,0.4689,0.88466,0.93388,0.86563,0.94064,0.75074,0.76007,0.4035,0.86886,0.0028225,0.0028225,0.0028225
147,5035.07,0.86899,0.46698,0.88519,0.93934,0.86322,0.94082,0.75047,0.76223,0.40444,0.8686,0.002773,0.002773,0.002773
148,5068.94,0.87545,0.4692,0.88228,0.93813,0.86674,0.94034,0.7516,0.75883,0.40426,0.86789,0.0027235,0.0027235,0.0027235
149,5102.71,0.86857,0.46449,0.88352,0.93859,0.86387,0.94129,0.75177,0.75599,0.40354,0.86708,0.002674,0.002674,0.002674
150,5136.73,0.86095,0.46175,0.88115,0.93497,0.86507,0.94139,0.75232,0.75481,0.40213,0.86636,0.0026245,0.0026245,0.0026245
151,5170.69,0.86987,0.46459,0.88139,0.9388,0.86507,0.94218,0.75247,0.7561,0.40061,0.86646,0.002575,0.002575,0.002575
152,5204.41,0.86649,0.46334,0.8827,0.938,0.86417,0.94176,0.75253,0.75541,0.40101,0.8663,0.0025255,0.0025255,0.0025255
153,5238.25,0.85958,0.45959,0.88184,0.94324,0.85902,0.94049,0.75282,0.75463,0.3999,0.86675,0.002476,0.002476,0.002476
154,5272.07,0.85986,0.46133,0.88082,0.93771,0.86443,0.94125,0.75287,0.75597,0.40072,0.8666,0.0024265,0.0024265,0.0024265
155,5306.13,0.86092,0.4612,0.8815,0.9374,0.86761,0.9416,0.75435,0.75489,0.40001,0.86634,0.002377,0.002377,0.002377
156,5340.42,0.85999,0.45873,0.88029,0.93673,0.86731,0.94137,0.75449,0.75331,0.4001,0.86602,0.0023275,0.0023275,0.0023275
157,5374.16,0.85797,0.4584,0.8822,0.93397,0.87112,0.94187,0.75526,0.75137,0.39979,0.86562,0.002278,0.002278,0.002278
158,5407.27,0.85953,0.46115,0.88119,0.94115,0.86266,0.94146,0.75539,0.75162,0.39899,0.86558,0.0022285,0.0022285,0.0022285
159,5440.64,0.84829,0.45454,0.88031,0.94212,0.86343,0.94183,0.75466,0.75006,0.39836,0.86546,0.002179,0.002179,0.002179
160,5474.15,0.85731,0.45881,0.88042,0.94201,0.86159,0.94068,0.7549,0.75015,0.39786,0.86526,0.0021295,0.0021295,0.0021295
161,5507.26,0.85043,0.45422,0.87944,0.93713,0.86365,0.9411,0.75444,0.75091,0.39826,0.86553,0.00208,0.00208,0.00208
162,5540.47,0.85117,0.45455,0.88012,0.93788,0.86494,0.94188,0.7555,0.75018,0.39736,0.86539,0.0020305,0.0020305,0.0020305
163,5574.17,0.84562,0.45228,0.87852,0.94065,0.86516,0.94201,0.75629,0.74956,0.39701,0.86523,0.001981,0.001981,0.001981
164,5608.14,0.84581,0.45381,0.87846,0.94346,0.86146,0.94157,0.756,0.74832,0.39659,0.86502,0.0019315,0.0019315,0.0019315
165,5642.52,0.84362,0.4525,0.87936,0.94814,0.85918,0.94176,0.75628,0.74803,0.3957,0.86477,0.001882,0.001882,0.001882
166,5676.94,0.84594,0.45353,0.87856,0.94479,0.86121,0.94249,0.75681,0.74758,0.39564,0.86468,0.0018325,0.0018325,0.0018325
167,5710.95,0.84709,0.45135,0.87636,0.94607,0.86185,0.94316,0.75749,0.74542,0.39558,0.86483,0.001783,0.001783,0.001783
168,5744.77,0.84137,0.45173,0.8777,0.94602,0.86192,0.94306,0.75778,0.74443,0.39554,0.86464,0.0017335,0.0017335,0.0017335
169,5778.6,0.8439,0.45143,0.87656,0.9466,0.86159,0.94313,0.75832,0.74263,0.39544,0.86426,0.001684,0.001684,0.001684
170,5812.37,0.83869,0.44813,0.87769,0.94476,0.86314,0.94302,0.75902,0.73965,0.395,0.86388,0.0016345,0.0016345,0.0016345
171,5847.36,0.83698,0.44558,0.87798,0.94217,0.86421,0.94291,0.75966,0.73833,0.39409,0.86383,0.001585,0.001585,0.001585
172,5882.74,0.83903,0.44704,0.8772,0.94331,0.86343,0.94311,0.75986,0.73807,0.39395,0.86364,0.0015355,0.0015355,0.0015355
173,5917.47,0.82765,0.44401,0.87587,0.94277,0.86318,0.94302,0.76014,0.73863,0.39372,0.86358,0.001486,0.001486,0.001486
174,5951.79,0.8315,0.44572,0.87608,0.94356,0.86524,0.94348,0.75989,0.73891,0.39409,0.8634,0.0014365,0.0014365,0.0014365
175,5985.37,0.83206,0.44523,0.8766,0.94163,0.86606,0.94348,0.76054,0.73826,0.3937,0.86297,0.001387,0.001387,0.001387
176,6019.11,0.82474,0.44285,0.8733,0.94391,0.8652,0.94366,0.76087,0.73919,0.39336,0.86302,0.0013375,0.0013375,0.0013375
177,6053.37,0.83076,0.44353,0.87512,0.94388,0.86408,0.94313,0.76039,0.73882,0.39326,0.86285,0.001288,0.001288,0.001288
178,6087.95,0.83228,0.44512,0.87547,0.94443,0.86507,0.94366,0.76092,0.7388,0.39277,0.86269,0.0012385,0.0012385,0.0012385
179,6122.05,0.82145,0.44083,0.87424,0.94562,0.8642,0.94398,0.76088,0.73897,0.39239,0.8627,0.001189,0.001189,0.001189
180,6156.14,0.82344,0.44104,0.87426,0.94664,0.86327,0.94377,0.76099,0.73898,0.39176,0.86261,0.0011395,0.0011395,0.0011395
181,6190.38,0.82313,0.44149,0.87561,0.94403,0.86507,0.94363,0.76084,0.73866,0.39118,0.86248,0.00109,0.00109,0.00109
